lat,long,name,stand_count,overall_canopy_size,canopy_size (cm2/seedlings)
36.412,-89.6963,DJI_0153.JPG_1_9_36.412_-89.6963.tiff,11.321385,262.52786,23.18867
36.412,-89.6963,DJI_0153.JPG_1_10_36.412_-89.6963.tiff,12.2509165,355.40976,29.010872
36.412,-89.6963,DJI_0153.JPG_2_3_36.412_-89.6963.tiff,11.643035,290.7469,24.971745
36.412,-89.6963,DJI_0153.JPG_2_4_36.412_-89.6963.tiff,12.887,321.9315,24.981104
36.412,-89.6963,DJI_0153.JPG_2_5_36.412_-89.6963.tiff,14.646783,329.71945,22.51139
36.412,-89.6963,DJI_0153.JPG_2_6_36.412_-89.6963.tiff,12.387304,275.55438,22.244904
36.412,-89.6963,DJI_0153.JPG_2_7_36.412_-89.6963.tiff,12.792395,333.21643,26.04801
36.412,-89.6963,DJI_0153.JPG_2_8_36.412_-89.6963.tiff,12.03571,286.52316,23.806087
36.412,-89.6963,DJI_0153.JPG_2_9_36.412_-89.6963.tiff,12.217654,297.51282,24.351059
36.412,-89.6963,DJI_0153.JPG_2_10_36.412_-89.6963.tiff,10.942037,316.447,28.920301
36.4121,-89.6963,DJI_0154.JPG_-2_3_36.4121_-89.6963.tiff,13.30064,310.19623,23.321901
36.4121,-89.6963,DJI_0154.JPG_-2_4_36.4121_-89.6963.tiff,12.85691,320.42676,24.922533
36.4121,-89.6963,DJI_0154.JPG_-2_5_36.4121_-89.6963.tiff,13.2708025,382.887,28.851833
36.4121,-89.6963,DJI_0154.JPG_-2_6_36.4121_-89.6963.tiff,13.441413,374.4119,27.855099
36.4121,-89.6963,DJI_0154.JPG_-2_7_36.4121_-89.6963.tiff,11.478808,283.94705,24.736631
36.4121,-89.6963,DJI_0154.JPG_-2_8_36.4121_-89.6963.tiff,11.191279,274.49783,24.527834
36.4121,-89.6963,DJI_0154.JPG_-2_9_36.4121_-89.6963.tiff,12.092805,376.52908,31.136621
36.4121,-89.6963,DJI_0154.JPG_-2_10_36.4121_-89.6963.tiff,12.6945715,357.9402,28.19632
36.4121,-89.6963,DJI_0154.JPG_-2_11_36.4121_-89.6963.tiff,12.301217,414.31454,33.68078
36.4121,-89.6963,DJI_0154.JPG_-1_3_36.4121_-89.6963.tiff,10.692055,271.95334,25.435087
36.4121,-89.6963,DJI_0154.JPG_-1_4_36.4121_-89.6963.tiff,13.104525,334.43982,25.520943
36.4121,-89.6963,DJI_0154.JPG_-1_5_36.4121_-89.6963.tiff,15.895682,394.35513,24.808947
36.4121,-89.6963,DJI_0154.JPG_-1_6_36.4121_-89.6963.tiff,10.872077,272.6741,25.080221
36.4121,-89.6963,DJI_0154.JPG_-1_7_36.4121_-89.6963.tiff,10.9445505,272.0342,24.855677
36.4121,-89.6963,DJI_0154.JPG_-1_8_36.4121_-89.6963.tiff,10.670396,229.13718,21.474102
36.4121,-89.6963,DJI_0154.JPG_-1_9_36.4121_-89.6963.tiff,11.515266,307.97714,26.745117
36.4121,-89.6963,DJI_0154.JPG_-1_10_36.4121_-89.6963.tiff,11.398477,313.1363,27.471767
36.4121,-89.6963,DJI_0154.JPG_-1_11_36.4121_-89.6963.tiff,13.329393,426.62158,32.006077
36.4121,-89.6963,DJI_0154.JPG_0_3_36.4121_-89.6963.tiff,13.042238,319.7688,24.517939
36.4121,-89.6963,DJI_0154.JPG_0_4_36.4121_-89.6963.tiff,13.958289,333.76285,23.911444
36.4121,-89.6963,DJI_0154.JPG_0_5_36.4121_-89.6963.tiff,16.314753,474.76025,29.100058
36.4121,-89.6963,DJI_0154.JPG_0_6_36.4121_-89.6963.tiff,12.410189,303.74518,24.475468
36.4121,-89.6963,DJI_0154.JPG_0_7_36.4121_-89.6963.tiff,12.1384115,276.18475,22.752956
36.4121,-89.6963,DJI_0154.JPG_0_8_36.4121_-89.6963.tiff,11.930757,349.90543,29.328016
36.4121,-89.6963,DJI_0154.JPG_0_9_36.4121_-89.6963.tiff,13.046742,379.83945,29.113739
36.4121,-89.6963,DJI_0154.JPG_0_10_36.4121_-89.6963.tiff,13.188743,352.1214,26.698633
36.4121,-89.6963,DJI_0154.JPG_0_11_36.4121_-89.6963.tiff,10.000726,303.6476,30.362558
36.412,-89.6963,DJI_0154.JPG_1_3_36.4121_-89.6963.tiff,12.135947,300.99567,24.801992
36.412,-89.6963,DJI_0154.JPG_1_4_36.4121_-89.6963.tiff,14.675597,346.52225,23.612139
36.412,-89.6963,DJI_0154.JPG_1_5_36.4121_-89.6963.tiff,14.332356,363.39062,25.354563
36.412,-89.6963,DJI_0154.JPG_1_6_36.4121_-89.6963.tiff,13.610843,328.26337,24.117785
36.412,-89.6963,DJI_0154.JPG_1_7_36.4121_-89.6963.tiff,9.204666,163.61125,17.774817
36.412,-89.6963,DJI_0154.JPG_1_8_36.4121_-89.6963.tiff,12.847613,313.3754,24.39172
36.412,-89.6963,DJI_0154.JPG_1_9_36.4121_-89.6963.tiff,13.792271,418.87283,30.370113
36.412,-89.6963,DJI_0154.JPG_1_10_36.4121_-89.6963.tiff,13.407817,355.57007,26.51961
36.412,-89.6963,DJI_0154.JPG_1_11_36.4121_-89.6963.tiff,10.72318,283.31003,26.420338
36.412,-89.6963,DJI_0154.JPG_2_3_36.4121_-89.6963.tiff,10.620351,268.5704,25.28828
36.412,-89.6963,DJI_0154.JPG_2_4_36.4121_-89.6963.tiff,13.574723,355.51556,26.189526
36.412,-89.6963,DJI_0154.JPG_2_5_36.4121_-89.6963.tiff,12.400853,302.51846,24.394972
